,Code,Neighborhood,Price,m²,Street,Price/m²
341,211140, Humaitá,165000.0,55.6,Avenida Clóvis Paim Grivot,2967.6258992805756
342,217588, Petrópolis,920000.0,83.46,Rua Buenos Aires,11023.244668104482
343,222608, Cristo Redentor,460000.0,89.79,Avenida do Forte,5123.06492927943
344,228782, Menino Deus,130000.0,38.3,Rua Itororó,3394.2558746736295
345,198730, Partenon,684000.0,180.0,Rua dos Burgueses,3800.0
346,210125, São Sebastião,457818.0,56.0,Rua Jerônymo Zelmanovitz,8175.321428571428
347,221388, Rio Branco,902500.0,145.25,Rua Mariante,6213.42512908778
348,263584, Santo Antônio,135000.0,74.0,Rua Joaquim Cruz,1824.3243243243244
349,171753, Morro Santana,199000.0,45.98,Avenida Protásio Alves,4327.968682035668
350,288782, Petrópolis,133000.0,25.79,Avenida Protásio Alves,5157.037611477317
351,189128, Chácara das Pedras,510000.0,73.24,Rua Professor Ulisses Cabral,6963.407973784818
352,250038, Nonoai,160000.0,180.86,Rua Sebastião Wolf,884.662169633971
353,193104, Tristeza,230000.0,57.57,Rua Doutor Barcelos,3995.136355740837
354,218145, Vila Nova,380000.0,234.0,Rua Atílio Supertti,1623.931623931624
355,228466, Santa Tereza,997573.0,128.5,Rua Silveiro,7763.214007782101
356,119532, Menino Deus,1780000.0,379.23,Rua Silveiro,4693.72148827888
357,288017, Floresta,142500.0,71.88,Rua Garibaldi,1982.4707846410686
358,156057, Vila Nova,1068877.0,191.4,Estrada João Salomoni,5584.519331243469
359,209469, Cristo Redentor,199000.0,45.22,Rua Edmundo Bastian,4400.707651481645
360,210321, Vila Nova,650000.0,210.13,Rua Adriano Pereira da Silva,3093.323180888022
361,209787, Chácara das Pedras,980000.0,123.35,Rua Miracema,7944.872314552088
362,243944, Cristo Redentor,450000.0,95.29,Avenida Bernardi,4722.4262776786645
363,251103, Petrópolis,870000.0,59.55,Avenida Protásio Alves,14609.571788413099
364,103709, São João,878500.0,106.62,Rua Marcelo Gama,8239.542299756144
365,161104, Moinhos de Vento,936000.0,127.15,Rua Engenheiro Álvaro Nunes Pereira,7361.384191899331
366,201979, Petrópolis,1850000.0,246.51,Avenida Bagé,7504.76654091112
367,208490, Bom Fim,380000.0,44.16,Rua Santo Antônio,8605.072463768116
368,209788, Chácara das Pedras,1550000.0,209.0,Rua Miracema,7416.267942583732
369,183354, Jardim Botânico,600000.0,66.51,Avenida Ipiranga,9021.199819576002
370,215641, Bela Vista,1200000.0,154.78,Rua Engenheiro Afonso Cavalcanti,7752.939656286342
371,223151, Santa Cecília,322905.0,92.0,Rua Silva Só,3509.836956521739
372,261851, Teresópolis,379100.0,120.0,Avenida Arnaldo Bohrer,3159.1666666666665
373,141034, Centro Histórico,83000.0,47.1,Rua dos Andradas,1762.208067940552
374,151067, Chácara das Pedras,1568800.0,301.15,Rua Monte Alverne,5209.364104266977
375,216024, Bom Jesus,494900.0,54.0,Rua Carumbé,9164.814814814816
376,252832, Passo da Areia,218500.0,53.31,Avenida Plínio Brasil Milano,4098.668167323203
377,156600, Jardim Isabel,695000.0,225.18,Rua João Mendes Ouríques,3086.41975308642
378,206181, Morro Santana,160000.0,41.71,Rua Hugo Livi,3836.01054902901
379,226451, Floresta,122000.0,122.0,Avenida Cristóvão Colombo,1000.0
380,229847, Partenon,570000.0,483.0,Travessa Guedes da Luz,1180.1242236024846
381,243753, Morro Santana,320000.0,80.47,Rua Luís Lederman,3976.6372561202934
382,292850, Nonoai,175750.0,60.95,Avenida Quaraí,2883.5110746513533
383,177692, Santa Tereza,300000.0,49.12,Rua Dona Amélia,6107.491856677525
384,196074, Jardim do Salso,121600.0,43.62,Rua Ângelo Crivellaro,2787.712058688675
385,209104, Jardim Carvalho,360000.0,57.66,Rua Abram Goldsztein,6243.496357960458
386,217300, Moinhos de Vento,1082648.0,85.82,Avenida Benjamin Constant,12615.334420880914
387,229103, Belém Velho,350000.0,620.0,Rua Nossa Senhora do Rosário,564.516129032258
388,253102, Mário Quintana,209000.0,53.0,Rua Deodoro,3943.396226415094
389,151351, Cavalhada,750000.0,174.0,Avenida Juca Batista,4310.3448275862065
390,136630, Petrópolis,722000.0,147.3,Avenida Lavras,4901.5614392396465
391,211985, Ipanema,307300.0,56.0,Estrada Campo Novo,5487.5
392,224899, Petrópolis,460000.0,70.8,Rua Coronel Corte Real,6497.1751412429385
393,223656, Independência,430000.0,83.67,Avenida Independência,5139.237480578463
394,254345, Parque Santa Fé,688750.0,150.0,Avenida Doutor Rubem Knijnik,4591.666666666667
395,196183, Petrópolis,3222824.0,181.2,Avenida Soledade,17786.004415011037
396,207676, Azenha,650000.0,71.76,Rua Nunes Machado,9057.971014492752
397,211405, Menino Deus,830000.0,82.64,Rua Almirante Gonçalves,10043.562439496613
398,214398, Jardim Lindóia,680851.0,81.64,Rua Jerônymo Zelmanovitz,8339.674179323862
399,221657, Cristal,313500.0,31.37,Avenida Padre Cacique,9993.624481989162
400,160733, São Geraldo,600000.0,177.7,Avenida Amazonas,3376.477208778841
401,213085, Petrópolis,997500.0,136.75,Avenida Palmeira,7294.332723948812
402,147184, Rio Branco,318000.0,61.2,Rua Miguel Tostes,5196.078431372549
403,215292, Cascata,350000.0,110.0,Estrada dos Batillanas,3181.818181818182
404,254301, Jardim Lindóia,219000.0,128.9,Avenida Assis Brasil,1698.991466252909
405,304621, Boa Vista,396874.0,26.53,Rua Anita Garibaldi,14959.442140972484
406,106875, Jardim Botânico,524400.0,84.0,Avenida Ipiranga,6242.857142857143
407,203650, Moinhos de Vento,825000.0,100.12,Rua Doutor Vale,8240.111865761086
408,208578, Centro Histórico,530000.0,112.13,Rua General João Manoel,4726.656559350754
409,211434, Jardim Sabará,351000.0,64.17,Rua João Ernesto Schmidt,5469.845722300141
410,226489, Partenon,250000.0,94.0,Rua Joaquim Serra,2659.574468085106
411,242943, Petrópolis,499000.0,94.64,Avenida Ijuí,5272.612003381234
412,125219, Tristeza,455000.0,97.8,Rua Doutor Barcelos,4652.351738241309
413,202257, Centro Histórico,142500.0,35.31,Rua General Câmara,4035.683942225998
